time,val
01/01/2017,32
08/01/2017,26
15/01/2017,18
22/01/2017,10
29/01/2017,23
05/02/2017,43
12/02/2017,25
19/02/2017,59
26/02/2017,25
05/03/2017,21
12/03/2017,46
19/03/2017,38
26/03/2017,25
02/04/2017,38
09/04/2017,34
16/04/2017,21
23/04/2017,21
30/04/2017,20
07/05/2017,48
14/05/2017,24
21/05/2017,5
28/05/2017,38
04/06/2017,43
11/06/2017,49
18/06/2017,26
25/06/2017,28
02/07/2017,67
09/07/2017,28
16/07/2017,38
23/07/2017,33
30/07/2017,16
06/08/2017,37
13/08/2017,42
20/08/2017,21
27/08/2017,5
03/09/2017,49
10/09/2017,37
17/09/2017,27
24/09/2017,33
01/10/2017,28
08/10/2017,39
15/10/2017,27
22/10/2017,39
29/10/2017,16
05/11/2017,21
12/11/2017,31
19/11/2017,47
26/11/2017,32
03/12/2017,32
10/12/2017,16
17/12/2017,37
24/12/2017,21
31/12/2017,26
07/01/2018,20
14/01/2018,15
21/01/2018,29
28/01/2018,21
04/02/2018,17
11/02/2018,0
18/02/2018,33
25/02/2018,30
04/03/2018,50
11/03/2018,25
18/03/2018,61
25/03/2018,25
01/04/2018,30
08/04/2018,39
15/04/2018,54
22/04/2018,38
29/04/2018,34
06/05/2018,24
13/05/2018,56
20/05/2018,45
27/05/2018,41
03/06/2018,55
10/06/2018,22
17/06/2018,21
24/06/2018,29
01/07/2018,30
08/07/2018,40
15/07/2018,49
22/07/2018,15
29/07/2018,63
05/08/2018,29
12/08/2018,51
19/08/2018,55
26/08/2018,42
02/09/2018,35
09/09/2018,50
16/09/2018,20
23/09/2018,15
30/09/2018,58
07/10/2018,49
14/10/2018,22
21/10/2018,50
28/10/2018,34
04/11/2018,43
11/11/2018,69
18/11/2018,32
25/11/2018,31
02/12/2018,37
09/12/2018,58
16/12/2018,25
23/12/2018,10
30/12/2018,10
06/01/2019,29
13/01/2019,48
20/01/2019,19
27/01/2019,11
03/02/2019,6
10/02/2019,44
17/02/2019,34
24/02/2019,33
03/03/2019,53
10/03/2019,43
17/03/2019,66
24/03/2019,38
31/03/2019,67
07/04/2019,62
14/04/2019,42
21/04/2019,33
28/04/2019,14
05/05/2019,49
12/05/2019,51
19/05/2019,18
26/05/2019,54
02/06/2019,30
09/06/2019,43
16/06/2019,25
23/06/2019,38
30/06/2019,22
07/07/2019,31
14/07/2019,23
21/07/2019,50
28/07/2019,22
04/08/2019,26
11/08/2019,53
18/08/2019,49
25/08/2019,35
01/09/2019,49
08/09/2019,40
15/09/2019,48
22/09/2019,18
29/09/2019,23
06/10/2019,72
13/10/2019,36
20/10/2019,53
27/10/2019,67
03/11/2019,68
10/11/2019,39
17/11/2019,31
24/11/2019,47
01/12/2019,54
08/12/2019,37
15/12/2019,56
22/12/2019,13
29/12/2019,29
05/01/2020,43
12/01/2020,25
19/01/2020,10
26/01/2020,19
02/02/2020,100
09/02/2020,50
16/02/2020,70
23/02/2020,57
01/03/2020,37
08/03/2020,64
15/03/2020,70
22/03/2020,24
29/03/2020,26
05/04/2020,67
12/04/2020,100
19/04/2020,53
26/04/2020,78
03/05/2020,74
10/05/2020,61
17/05/2020,70
24/05/2020,70
31/05/2020,72
07/06/2020,86
14/06/2020,74
21/06/2020,50
28/06/2020,82
05/07/2020,66
12/07/2020,39
19/07/2020,44
26/07/2020,43
