time,val
01/01/2017,22
08/01/2017,36
15/01/2017,24
22/01/2017,0
29/01/2017,0
05/02/2017,35
12/02/2017,69
19/02/2017,57
26/02/2017,57
05/03/2017,35
12/03/2017,68
19/03/2017,35
26/03/2017,58
02/04/2017,12
09/04/2017,23
16/04/2017,68
23/04/2017,23
30/04/2017,32
07/05/2017,22
14/05/2017,26
21/05/2017,14
28/05/2017,0
04/06/2017,45
11/06/2017,0
18/06/2017,0
25/06/2017,16
02/07/2017,15
09/07/2017,15
16/07/2017,30
23/07/2017,75
30/07/2017,44
06/08/2017,0
13/08/2017,43
20/08/2017,0
27/08/2017,15
03/09/2017,15
10/09/2017,29
17/09/2017,30
24/09/2017,45
01/10/2017,0
08/10/2017,30
15/10/2017,30
22/10/2017,0
29/10/2017,15
05/11/2017,29
12/11/2017,57
19/11/2017,29
26/11/2017,15
03/12/2017,44
10/12/2017,14
17/12/2017,43
24/12/2017,0
31/12/2017,42
07/01/2018,70
14/01/2018,68
21/01/2018,54
28/01/2018,59
04/02/2018,30
11/02/2018,33
18/02/2018,45
25/02/2018,55
04/03/2018,14
11/03/2018,27
18/03/2018,55
25/03/2018,69
01/04/2018,14
08/04/2018,40
15/04/2018,13
22/04/2018,79
29/04/2018,0
06/05/2018,66
13/05/2018,28
20/05/2018,27
27/05/2018,28
03/06/2018,41
10/06/2018,24
17/06/2018,23
24/06/2018,11
01/07/2018,47
08/07/2018,24
15/07/2018,66
22/07/2018,27
29/07/2018,79
05/08/2018,13
12/08/2018,25
19/08/2018,50
26/08/2018,13
02/09/2018,14
09/09/2018,41
16/09/2018,28
23/09/2018,14
30/09/2018,44
07/10/2018,30
14/10/2018,30
21/10/2018,30
28/10/2018,93
04/11/2018,0
11/11/2018,29
18/11/2018,59
25/11/2018,57
02/12/2018,43
09/12/2018,43
16/12/2018,82
23/12/2018,27
30/12/2018,13
06/01/2019,0
13/01/2019,0
20/01/2019,26
27/01/2019,14
03/02/2019,0
10/02/2019,40
17/02/2019,26
24/02/2019,39
03/03/2019,40
10/03/2019,26
17/03/2019,52
24/03/2019,65
31/03/2019,26
07/04/2019,13
14/04/2019,39
21/04/2019,39
28/04/2019,12
05/05/2019,36
12/05/2019,0
19/05/2019,62
26/05/2019,12
02/06/2019,23
09/06/2019,23
16/06/2019,23
23/06/2019,12
30/06/2019,24
07/07/2019,12
14/07/2019,12
21/07/2019,63
28/07/2019,12
04/08/2019,12
11/08/2019,36
18/08/2019,74
25/08/2019,12
01/09/2019,12
08/09/2019,49
15/09/2019,0
22/09/2019,24
29/09/2019,49
06/10/2019,12
13/10/2019,61
20/10/2019,36
27/10/2019,73
03/11/2019,25
10/11/2019,24
17/11/2019,60
24/11/2019,35
01/12/2019,45
08/12/2019,57
15/12/2019,33
22/12/2019,23
29/12/2019,46
05/01/2020,23
12/01/2020,35
19/01/2020,70
26/01/2020,53
02/02/2020,44
09/02/2020,73
16/02/2020,30
23/02/2020,39
01/03/2020,20
08/03/2020,49
15/03/2020,19
22/03/2020,57
29/03/2020,82
05/04/2020,54
12/04/2020,44
19/04/2020,56
26/04/2020,67
03/05/2020,43
10/05/2020,100
17/05/2020,53
24/05/2020,75
31/05/2020,33
07/06/2020,54
14/06/2020,53
21/06/2020,94
28/06/2020,32
05/07/2020,21
12/07/2020,0
19/07/2020,54
26/07/2020,21
