time,val
01/01/2017,30
08/01/2017,20
15/01/2017,37
22/01/2017,11
29/01/2017,37
05/02/2017,38
12/02/2017,65
19/02/2017,31
26/02/2017,28
05/03/2017,46
12/03/2017,47
19/03/2017,40
26/03/2017,46
02/04/2017,30
09/04/2017,50
16/04/2017,25
23/04/2017,30
30/04/2017,44
07/05/2017,67
14/05/2017,29
21/05/2017,34
28/05/2017,40
04/06/2017,38
11/06/2017,36
18/06/2017,56
25/06/2017,40
02/07/2017,47
09/07/2017,60
16/07/2017,51
23/07/2017,41
30/07/2017,35
06/08/2017,28
13/08/2017,41
20/08/2017,46
27/08/2017,38
03/09/2017,43
10/09/2017,27
17/09/2017,39
24/09/2017,41
01/10/2017,44
08/10/2017,62
15/10/2017,68
22/10/2017,36
29/10/2017,35
05/11/2017,38
12/11/2017,32
19/11/2017,54
26/11/2017,60
03/12/2017,50
10/12/2017,49
17/12/2017,45
24/12/2017,41
31/12/2017,38
07/01/2018,38
14/01/2018,51
21/01/2018,16
28/01/2018,40
04/02/2018,26
11/02/2018,20
18/02/2018,48
25/02/2018,52
04/03/2018,90
11/03/2018,58
18/03/2018,57
25/03/2018,57
01/04/2018,66
08/04/2018,51
15/04/2018,67
22/04/2018,61
29/04/2018,50
06/05/2018,70
13/05/2018,57
20/05/2018,47
27/05/2018,57
03/06/2018,68
10/06/2018,31
17/06/2018,44
24/06/2018,43
01/07/2018,51
08/07/2018,54
15/07/2018,57
22/07/2018,61
29/07/2018,57
05/08/2018,49
12/08/2018,50
19/08/2018,41
26/08/2018,51
02/09/2018,42
09/09/2018,69
16/09/2018,50
23/09/2018,58
30/09/2018,55
07/10/2018,61
14/10/2018,48
21/10/2018,62
28/10/2018,50
04/11/2018,63
11/11/2018,58
18/11/2018,41
25/11/2018,34
02/12/2018,54
09/12/2018,86
16/12/2018,63
23/12/2018,52
30/12/2018,34
06/01/2019,48
13/01/2019,20
20/01/2019,41
27/01/2019,32
03/02/2019,20
10/02/2019,90
17/02/2019,56
24/02/2019,68
03/03/2019,57
10/03/2019,40
17/03/2019,51
24/03/2019,51
31/03/2019,65
07/04/2019,61
14/04/2019,64
21/04/2019,62
28/04/2019,34
05/05/2019,81
12/05/2019,54
19/05/2019,74
26/05/2019,46
02/06/2019,58
09/06/2019,80
16/06/2019,49
23/06/2019,36
30/06/2019,72
07/07/2019,42
14/07/2019,38
21/07/2019,84
28/07/2019,51
04/08/2019,60
11/08/2019,49
18/08/2019,65
25/08/2019,76
01/09/2019,52
08/09/2019,54
15/09/2019,59
22/09/2019,77
29/09/2019,62
06/10/2019,74
13/10/2019,61
20/10/2019,69
27/10/2019,67
03/11/2019,70
10/11/2019,49
17/11/2019,39
24/11/2019,36
01/12/2019,62
08/12/2019,72
15/12/2019,41
22/12/2019,47
29/12/2019,49
05/01/2020,40
12/01/2020,53
19/01/2020,26
26/01/2020,64
02/02/2020,71
09/02/2020,70
16/02/2020,61
23/02/2020,73
01/03/2020,71
08/03/2020,52
15/03/2020,82
22/03/2020,72
29/03/2020,65
05/04/2020,48
12/04/2020,94
19/04/2020,84
26/04/2020,54
03/05/2020,95
10/05/2020,97
17/05/2020,84
24/05/2020,92
31/05/2020,86
07/06/2020,86
14/06/2020,74
21/06/2020,100
28/06/2020,77
05/07/2020,59
12/07/2020,77
19/07/2020,65
26/07/2020,66
